date,airline,flight_number,origin,destination,original_route,new_route,original_distance_km,new_distance_km,additional_distance_km,extra_fuel_cost_usd,delay_hours
2026-02,Gulf Air,GU****,Middle East,South Asia,Via Strait of Hormuz,Southern Route,6000+,6000+,1001-3000,High,3-6 hrs
2026-02,Iran Air,IR****,North America,Middle East,Via Iran/Iraq corridor,Northern Route,3001-6000,3001-6000,1001-3000,Very High,3-6 hrs
2026-02,Malaysia Airlines,MA****,Middle East,Middle East,Direct Tehran overfly,Central Asia Route,3001-6000,3001-6000,0-1000,Very High,3-6 hrs
2026-02,Gulf Air,GU****,South Asia,Middle East,Via Persian Gulf,Southern Route,6000+,6000+,1001-3000,Very High,3-6 hrs
2026-02,Emirates SkyCargo,EM****,Middle East,Europe,Direct Tehran overfly,Central Asia Route,6000+,6000+,1001-3000,Very High,1-3 hrs
2026-02,FedEx Express,FE***,Middle East,Europe,Direct Gulf route,Alternate Route,1001-3000,3001-6000,0-1000,High,1-3 hrs
2026-02,Gulf Air,GU****,Middle East,North America,Direct Tehran overfly,Central Asia Route,3001-6000,6000+,0-1000,Very High,3-6 hrs
2026-02,DHL Aviation,DH****,Middle East,North America,Via Iran/Iraq corridor,Northern Route,6000+,6000+,0-1000,Very High,1-3 hrs
2026-02,Mahan Air,MA****,Middle East,Middle East,Direct Middle East overfly,Central Asia Route,3001-6000,6000+,1001-3000,Very High,1-3 hrs
2026-02,Turkish Airlines,TU****,North America,Middle East,Direct Gulf route,Alternate Route,6000+,6000+,0-1000,High,3-6 hrs
2026-02,Air India,AI****,Europe,Middle East,Direct Middle East overfly,Central Asia Route,1001-3000,3001-6000,1001-3000,Very High,3-6 hrs
2026-02,Lufthansa,LU****,South Asia,Middle East,Via Iran/Iraq corridor,Northern Route,6000+,6000+,1001-3000,Very High,1-3 hrs
2026-02,Ethiopian Airlines,ET****,East Asia,Middle East,Via Iran/Iraq corridor,Southern Route,3001-6000,3001-6000,1001-3000,Very High,3-6 hrs
2026-02,Singapore Airlines,SI****,Europe,Middle East,Via Persian Gulf,Southern Route,1001-3000,3001-6000,3001-6000,Very High,3-6 hrs
2026-02,Saudi Arabian Airlines,SA****,Middle East,Middle East,Via Iran/Iraq corridor,Northern Route,6000+,6000+,1001-3000,Very High,1-3 hrs
2026-02,American Airlines,AM****,Europe,Middle East,Via Iran/Iraq corridor,Southern Route,6000+,6000+,1001-3000,Very High,1-3 hrs
2026-02,Pakistan International Airlines,PA****,Middle East,South Asia,Direct Middle East overfly,Central Asia Route,6000+,6000+,1001-3000,Very High,3-6 hrs
2026-02,Gulf Air,GU****,Europe,Middle East,Direct Gulf route,Alternate Route,3001-6000,3001-6000,0-1000,High,1-3 hrs
2026-02,Mahan Air,MA****,Middle East,South Asia,Via Persian Gulf,Southern Route,6000+,6000+,1001-3000,Very High,1-3 hrs
2026-02,Singapore Airlines,SI****,Europe,Middle East,Direct Gulf route,Alternate Route,6000+,6000+,0-1000,Very High,0-1 hr
2026-02,Thai Airways,TH****,Middle East,North America,Direct Tehran overfly,Central Asia Route,3001-6000,3001-6000,1001-3000,Very High,3-6 hrs
2026-02,Iran Air,IR****,Middle East,South Asia,Direct Tehran overfly,Central Asia Route,3001-6000,6000+,0-1000,High,1-3 hrs
2026-02,American Airlines,AM****,Middle East,Europe,Via Baghdad FIR,Northern Route,3001-6000,3001-6000,0-1000,High,3-6 hrs
2026-02,Singapore Airlines,SI****,Middle East,Middle East,Via Iran/Iraq corridor,Southern Route,6000+,6000+,1001-3000,Very High,1-3 hrs
2026-02,Emirates,EM****,Middle East,South Asia,Via Persian Gulf,Southern Route,3001-6000,3001-6000,1001-3000,Very High,1-3 hrs
2026-02,Emirates SkyCargo,EM****,Europe,Middle East,Direct Tehran overfly,Central Asia Route,3001-6000,6000+,1001-3000,Very High,1-3 hrs
2026-03,Pakistan International Airlines,PA****,Middle East,North America,Direct Tehran overfly,Central Asia Route,1001-3000,3001-6000,1001-3000,Very High,3-6 hrs
2026-03,Saudi Arabian Airlines,SA****,Europe,Middle East,Via Strait of Hormuz,Southern Route,6000+,6000+,0-1000,Very High,3-6 hrs
2026-03,Qatar Airways,QA****,South Asia,Middle East,Direct Tehran overfly,Central Asia Route,6000+,6000+,1001-3000,Very High,1-3 hrs
2026-03,Cargolux,CA****,Middle East,Middle East,Direct Tehran overfly,Central Asia Route,1001-3000,3001-6000,0-1000,High,3-6 hrs
2026-03,American Airlines,AM****,Europe,Middle East,Direct Tehran overfly,Central Asia Route,6000+,6000+,1001-3000,High,3-6 hrs
2026-03,Oman Air,OM****,Middle East,Middle East,Direct Tehran overfly,Central Asia Route,3001-6000,3001-6000,1001-3000,Very High,1-3 hrs
2026-03,Gulf Air,GU****,Middle East,Europe,Via Strait of Hormuz,Southern Route,6000+,6000+,0-1000,High,3-6 hrs
