date,airline,flight_number,origin,destination,original_route,new_route,original_distance_km,new_distance_km,additional_distance_km,extra_fuel_cost_usd,delay_hours
2026-02-28,Gulf Air,GU1160,Istanbul,Delhi,Via Strait of Hormuz,Via Red Sea–Suez route,7437,8602,1165,4081.06,3.3
2026-02-28,Iran Air,IR9334,Los Angeles,Doha,Via Iran/Iraq corridor,Via Turkey–Kazakhstan northern route,4239,5887,1648,6633.95,4.5
2026-02-28,Malaysia Airlines,MA6046,Amman,Dubai,Direct Tehran overfly,Via Ashgabat–Almaty route,3991,4892,901,5653.79,4.3
2026-02-28,Gulf Air,GU2830,Islamabad,Riyadh,Via Persian Gulf,Via Indian Ocean southern route,10505,11957,1452,7127.27,3.9
2026-02-28,Emirates SkyCargo,EM2101,Doha,London,Direct Tehran overfly,Via Ashgabat–Almaty route,8421,9637,1216,6972.49,2.6
2026-02-28,FedEx Express,FE542,Dubai,Frankfurt,Direct Gulf route,Via Jordan–Egypt alternate,2727,3720,993,4915.92,2.9
2026-02-28,Gulf Air,GU5444,Dubai,New York,Direct Tehran overfly,Via Ashgabat–Almaty route,5752,6651,899,6255.22,4.1
2026-02-28,DHL Aviation,DH3889,Doha,Los Angeles,Via Iran/Iraq corridor,Via Turkey–Kazakhstan northern route,8508,9502,994,5002.9,2.4
2026-02-28,Mahan Air,MA4049,Tehran,Istanbul,Direct Middle East overfly,Via Central Asian detour,4402,6153,1751,9609.6,1.5
2026-02-28,Turkish Airlines,TU6903,New York,Doha,Direct Gulf route,Via Jordan–Egypt alternate,6347,7040,693,4580.02,3.9
2026-02-28,Air India,AI9296,London,Doha,Direct Middle East overfly,Via Central Asian detour,2377,4452,2075,10389.57,3.8
2026-02-28,Lufthansa,LU5500,Karachi,Dubai,Via Iran/Iraq corridor,Via Turkey–Kazakhstan northern route,7032,8245,1213,5740.66,2.2
2026-02-28,Ethiopian Airlines,ET1878,Beijing,Tehran,Via Iran/Iraq corridor,Via Egypt–East Africa southern route,3487,5382,1895,13024.24,3.2
2026-02-28,Singapore Airlines,SI2436,Moscow,Tehran,Via Persian Gulf,Via Indian Ocean southern route,2257,5509,3252,15582.07,3.2
2026-02-28,Saudi Arabian Airlines,SA5972,Dubai,Cairo,Via Iran/Iraq corridor,Via Turkey–Kazakhstan northern route,6431,7636,1205,5113.08,2.6
2026-02-28,American Airlines,AM3218,Moscow,Tehran,Via Iran/Iraq corridor,Via Egypt–East Africa southern route,7578,9347,1769,11370.71,2.3
2026-02-28,Pakistan International Airlines,PA4924,Doha,Mumbai,Direct Middle East overfly,Via Central Asian detour,11821,14100,2279,12809.85,4.8
2026-02-28,Gulf Air,GU8832,Paris,Beirut,Direct Gulf route,Via Jordan–Egypt alternate,4351,5162,811,3843.39,1.4
2026-02-28,Mahan Air,MA6054,Doha,Lahore,Via Persian Gulf,Via Indian Ocean southern route,11908,14744,2836,15494.95,3.0
2026-02-28,Singapore Airlines,SI2093,London,Doha,Direct Gulf route,Via Jordan–Egypt alternate,6818,7798,980,5424.63,0.8
2026-02-28,Thai Airways,TH2126,Dubai,New York,Direct Tehran overfly,Via Ashgabat–Almaty route,3580,5177,1597,5713.26,3.6
2026-02-28,Iran Air,IR1626,Dubai,Mumbai,Direct Tehran overfly,Via Ashgabat–Almaty route,5881,6760,879,4981.78,1.5
